FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2011","28Defiant","MetalSharkBoats","MetalSharkBoats","USCoastGuard","US","June2011MetalShark’s28Defiantaluminiumresponseboatmadenotableripplesin2011, notonlyintermsofitsdesignbutaspartofoneofthemoresizeableandsignificantUSmarinecontractsoftheyear. TheUSCoastGuard (USCG) hastakenthedecisiontoreplaceitsentirefleetofResponseBoat-Small (RB-S) categoryvessels, therebyprovidingLouisiana-basedcraftbuilderMetalSharkBoatswithanorderfor470vesselstotheUSCGfleet, and20toUSCustomsandBorderProtection. Thecontractisestimatedtobeworth $US192millionintotal, andhasbeenpraisedasavitaleconomicboostoLouisiana, with40newemployeesexpectedtojoinMetalSharkbeforeMay2012. Atleast40ofthenew28DefiantmodelsorderedbytheUSCGarescheduledtobecompletedandeliveredbythendofDecember2012. The28Defiantplatformboasts, amongitsmanyfeatures, theabilitytoachieveatopspeedof40knots, withaminimumrangeof150nauticalmiles. ThisvesselclassmeetsallPortSecurityGrantrequirements, andtheUSCGhasdeemeditsuitableforportandwaterwayenforcement, searchandrescueoperations, interceptionofdrug-carryingvesselsandillegalimmigrants, environmentalregulationandotherlawenforcementmissions. Withadryweightofapproximately4455kgandafuelcapacityof500litres (storedwithinabaffledaluminiumfueltank), thevesselisroadtransportable, forflexibilityandswiftservicebetweenmissions. Thankstoherfoldingcabindesign, anotherlegacyfromMetalShark’sDefiantplatform, 28DefiantcanalsobetransportedviaHerculesC130aircraft, aboardaspecialisedtrailerunit. Oneof28Defiant'smostnotableandusefulfeaturesistheadaptablenatureofitspilothousearrangement. Thisectionofthevesselfeaturesfull-dropcabinwindowsthatconverthecraftfromaclosed, climate-controlledpilothouseboatoanopenboat, andviceversa, withinseconds. Accordingtorequirements, thecrewcan, therefore, dropthewindowsdownwhentheywishtoimproveventilationandcommunication, oraisethemagaintoprotecthemselvesfromattackersand / orthelements. Thecabinisenhancedwithanti-ballisticmaterials, foraddedprotection. Additionally, 28Defiantfeaturesfiveshock-mitigatedseats; fourinsidethepilothouseandthebowgunnerseat, thesebeinginadditiontoanaftgunnerslingseat. Otherconsiderationsincludenon-skidecksandgunnels, anintegratedurethanesheath-wrappedfoamfenderingsystem, aquadbatterysystemandtwo9,100litresperhourbilgepumpswithautomaticandmanualcontroloptions. TECHNICALPARTICULARS","9.5m","40knots","","","","3.78tonnes","Honda","BF225AKXA","2"
"SSS 2011","BanrionUladh","BalticWorkboats","BalticWorkboats","DepartmentofAgricultureandRuralDevelopment, NorthernIreland","","December2010Patrollingcoastalwatersonfrequentandlengthymissionsoftenecessitatesovernightshiftsforhard- workingandlong-sufferingcrew. Overthepastfewyears, Europehaswitnessedanincreasingnumberofcallsforahigherdegreeofergonomiconsiderationwhenitcomestopatrolboatdesign, amidfearsthatexcessiveonboardnoiseandvibrationscouldbeaddingtothefatiguelevelsofcrewmembers, andleadingtosubsequentpoorperformance. Narrowlymissingoutonlastyear’scompendiumofSignificantSmallShipsbydintofherlate2010deliverydate, the26mBanrionUladhrepresentsafirmsteptowardstacklingnoiseandvibrationbylimitingonboardnoiselevelstoanimpressive56dB. Thealuminiumvessel, designedandconstructedbyEstonia-basedBalticWorkboats, wasmodelledpartlyonthebuilder’sprevious24mBaltic2400platform, whichwaspreviouslydeployedtofashionfastcraftforesearchandborderpatrolvesselsoperatinginPolish, EstonianandLatvianwaters. AlthoughissuescenteringoncrewcomforthavetodatebeenvoicedpredominantlyinEurope, thereisnoreasontodoubthat, aspatrolvesseldeliveriescontinueinregionsuchasRussia, SouthEastAsiandtheMiddleEast, demandforsimilarergonomicallyfriendlydesignswillalsogrowglobally, makingtheBanrionUladhafinexampleforwhatcanbeachievedwithalittleforethoughtandesignacumen. BanrionUladhwasbuiltathebehestofNorthernIreland’sDepartmentofAgricultureandRuralDevelopment (DARD), tothetuneofapproximatelyUS$3.65million, chieflytoreplaceretiringfisheriespatrolcraftKenVickers. Subsequently, theprojectattracteda50% contributionfromtheEU. Originally, DARDrequestedavesselcapableofachievingatopspeedof22knots, thoughBalticWorkboatswasabletoboosthisratingoverthecourseofherconstruction, registering26.5knotsinherinitialseatrials, courtesyoftwinMTU10V200 M72dieselengines. Inordertocombinethisperformancewithanergonomicallysoundenvironment, BalticWorkboatsincorporatedaflexible-mountedwheelhouse, completewithrubberpads, intoBanrionUladh’slayout, andaddedspecialsound-dampeningmatstoherinteriorfittings, resultinginthevessel’slowdBrating. Thevessel’swheelhousehasbeensplitintotwodistinctsections; thefirst, atheaftend, housesawetlaboratory, featuringthreeworkstations, whichisintendedforscientificandata-gatheringactivities; thesecond, locatedforward, containsanair-conditionednavigationbridgeforuptothreecrewmembers, plusadditionalseatsfortwobservers, andafullsizechartable, boastinganelectronicsuite. Withscientificsurveysinmind, thevesselhasalsobeenequippedwithadismountablemultibeamechosounderandapothaulerdavitonherportside. Thecraft’saftdeckalsofeaturesa44.7kWBoomerangerigidinflatableboat (RIB), capableofhittingspeedsofupto35knots, andBanrionUladhenjoysatopfuelcapacityof600litres. Allinall, thisisacompactandself-sufficientlittlevesselthat’scertainlythrowndownthegauntletodesignerseekingtoeliminatenoiselevelswhilstretainingadequateservicespeedandfastresponsetimes. WecancertainlypictureafewRussianborderauthoritieswho’dbekeenontriallingthiscomfortablesolution. TECHNICALPARTICULARS","25.9m","26knots","","74tonnes","","52tonnes","MTU","10V200M72","2"
"SSS 2011","CaspianProvider","Simek","Rolls-RoyceMarine / Ulsteinvik","TopazEnergyandMarine","Dubai","July2011BasedonRolls-RoyceMarine’sUlsteinUT755design, apopularsupplyshipblueprintsinceitsinceptionin1996, the73.6mloaplatformsupplyvesselCaspianProvider, whichwasdeliveredtoDubai-basedTopazEnergyandMarine, representsanewspinontheprovenconcept. CaspianProvidermainlydiffersfromthetypicalUT755layoutbyvirtueofanadditionalaccommodationdeck, expandingthevessel’scomplementcapacitytoaccommodate40personsonboard. Inaddition, thevesselincorporatesacoveredforecastleforwardandabulbousbow, foravisiblyupdatedappearance. Intotal, CaspianProviderboastscapacityfor545m3ofueloilcargo; 1090m3ofreshwater; 1485m3ofballast / drillwater; 993m3ofmud (596m3ofwhichisincludedinthewaterballastcapacity); and320m3ofdrybulk. Thevesselisdividedintowatertightcompartmentsandfeaturesadoublehull, whilethesteeringearoomfeaturesrotaryvane-typeRolls-RoyceTenfjordSR622- FCPsteeringears, turningRolls-RoyceUlsteinHinzeFB-S1750rudders, aswellasthehydraulicpowerunitforthetwocapstansonthemaindeckabove. Belowandforwardofthesteeringearoomistheafthrusteroom, wheretheRolls-Royce–suppliedKamewaUlsteintransversethrustersarelocated, asisthemergencyfirepump. Furtherforward, throughawatertightslidingdoor, thepump/gearoomfeaturesthevessel’sKamewaUlstein600AGSC-V-KP50Lpropulsiongearboxes, whichdriveKamewaUlstein2900mm-diameter, four-bladepropellers, runningat197rpm. Theballastandfreshwatercargopumpsarealsosituatedinthisarea, withfreshwatertanksabove. CaspianProviderhasbeenequippedwithawatermistfire-fightingsystem, protectingthexposedpartsofthengines, separatorsandboilers. Thesystemisautomaticallyactivatedupontheheatrisingandhittingapre- determinedtemperature. Anengineroomworkshopisituatedontweendeck, forwardofthemainengines. Aftonmaindeckaretwocapstans, usedformooringthevessel. Thecargodeckisprotectedateachsidebyacargorail, justoutsideofwhicharethevessel’sloadingstations, withtheconnectionpointsfortheliquidcargoandbulkhoses, midshipsandaft. Specialattentionhasalsobeenpaidtobridgevisibility, andCaspianProviderisalsofittedoutwithadynamicpositioningsystemoftheICONDP2range, designedbyRolls-Royce. Foraddedmanoeuvrability, thevesselincorporatesRolls-Royce’sPosConjoysticksystem, whileFurunohasuppliedthemajorityofhernavigationandcommunicationequipmentinthewheelhouse. ForwardontheA-deckisthewindlass/mooringwinch, inacoveredarea, alongsideanemergencyaccessroutefromtheforecastledeck. TheB-deckhas, inadditiontothevesselexhaustuptakesandairductothengineroomonportside, fourone-manandsixtwo-mencabins, whiletheC-deckfeaturesfourone-manofficercabins, aswellastheinstrumentroom. TECHNICALPARTICULARS","73.6m","14.95knots (@4.2m)","","2471tonnes","","5065tonnes","Rolls-Royce","33L8P","2"
"SSS 2011","ChristopherWheatley","HikeMetalProducts","RobertAllanLtd","ChicagoFireDepartment","USA","April2011Oddasitmayseem, until2011theChicagoFireDepartment, US, reliedsolelyona1949-builtfireboat, VictorL. Schlaeger, topatroltheChicagoRiver, LakeMichiganandthesurroundingharbourswithinthevicinityoftheWindyCity. Thedepartmenthasnowrevampeditsfire-fightingcapacitywiththedeliveryoftheRobertAllan-designedChristopherWheatley, constructedtotheCanadiandesigner’sRAnger2700classconcept, whichmadeitsdebutinApril2011. ThevesselwasnamedtocommemorateChristopherWheatley, afirefighterwholosthislifeinthecourseofdutyin2010. The27.4mfireboathasbeencreditedwithIceClassABSC-0notation, inrecognitionoftheharshwinterenvironmentsheisetofaceintheMidwestduringheryear-roundoperations, andsheboaststhecapacitytocarryjustover15,700litresofueloil, 946litresofpotablewaterand3785litresofire-fightingfoam. AccordingtoRobertAllan, specialtechnicalattentionwaspaidtobalancingChristopherWheatley’shallowoperatingdraughtandlowmaximumairdraught, toensurethatsheremainedlightenoughtoevadetheriverbottominshallowaters, thoughnotsolightastomakecontactwiththelowheightbridgesthatareacommonfeatureoftheChicagoRiver, particularlywhereitrunsthroughChicago’sdowntowndistrict. Inseatrials, thevesselwasdemonstratedtohaveabollardpullratingof30tonnes. Thevessel’spropulsionmachinerycomprisestwoCAT32high-speedieselengines, eachdrivingafixed- pitch, 1371mmdiameterpropellerthroughaZFmodelW4610reverse-reductiongearbox. Twother, independentCAT32dieselengines, eachrated745kWat1800rpm, powerthevessel’sfire-fightingFFSmodelSFP250x230firepump, whichisrated1590m3perhour, atapressureof10bar. ChristopherWheatleyfeaturesfourStangfire-fightingmonitors; onepositionedcentreforward, rated22,710litresperminute; twoportandstarboardforward, eachrated11,355litresperminute; andoneaft, alsorated11,355litresperminute. Theaftmonitorislocatedontopofahydraulicallyelevatingmast, whichraisesthemonitortoamaximumheightof9.14mabovethewater. Functioningasa‘dayboat’, ChristopherWheatleyfeaturesnocrewlivingspaces, buthefireboatcontainsabelow-decksemergencytreatmentspace, adecontaminationshoweroom, galleyandmessareasandtwoequipmentstoragespaces– thefirstcapableofstoring28AeroMarineliferaftsand150lifejackets, thesecondhousingscubagear. Inaddition, thewheelhousewascarefullydesignedtoprovidethebestvisibilitypossible. WhilethememoryofChristopherWheatleylivesonthroughisrivergoingnamesake, thisturdyfireboatisprovidingtheChicagoFireDepartmentwithasafe, modernisedtoolfortacklingblazesandhazmat- associatedrisks, andforsavinglivesinatimelymanner. TECHNICALPARTICULARS","27.43m","13knots","","179.9tonnes","","230tonnes","Caterpillar","C32","2"
"SSS 2011","CWindAlliance","CTrukBoatsLtd","CTrukBoatsLtd","CWind","UK","“Inaddition, theRolls-RoyceVectorStickcontrolsaredesignedtobeintuitive, makingiteasyfortheskippertouse, evenwhen [heis] beingbombardedwithotherinformationwhilstdockingatheturbine.”Hard-workingvesselsofthisnaturehavetraditionallyreliedonheavydoors, althoughCTrukBoatschosetoincorporatearesininfusiontechniqueonthedoorsofCWindAlliance, resultinginareported65% decreaseindoorweight. Thebuilderhasalsodevelopedamanufacturingprocessthatenablesmodularconstruction, inordertoincreaseproductionefficiency. CWindAlliance’shullcompositeshavebeendesignedtoproduceasmoother, morehydrodynamicoverallshape. ThendresultofthisprocessisthatCWindAlliancehasbeenabletohalveitsfuelconsumptionrate, comparedtotraditionalaluminiumworkboatswithinthisizebracket. TECHNICALPARTICULARS","18.5m","30knots","","","","24tonnes","Cummins","QSM11","2"
"SSS 2011","Elastec1","Alnmaritec","Alnmaritec","PetroChina","China","May2011Elastec1representsthefirstofaduofoilpollutioncontrolboats, designedandconstructedbyUKboatbuilderAlnmaritec, fordeliverytoChineseoilmajorPetroChina. ThelattergrouphasdeployedElastec1andhersistervessel, Elastec2, atitsrefineryterminalinTianjin, China, withthegoalofkeepingtheareasenvironmentallyfriendlyaspossible, enablingthecompanytoactfastoclearupanyspillsorleaksinthevicinity, aswellasensuringthathesurroundingwatersarekeptclearofloatingarbage. Comprisinga10.8mx5.2mcatamaran, Elastec1formedAlnmaritec’snewWaveSkimmerclass, anupgradeofthedesigner’spreviousWaveProviderconcept, whichadoriginallybeendrawnupin2010, alsofordeliveryandeploymentoPetroChina. UponstructuralcompletionatAlnmaritec’syardinBlyth, UK, Elastec1andhersisterweretransportedtotheUS, whereElastecAmericanMarine, amanufacturerofspecialistoilrecoveryandstoragequipment, kittedouthepair. TheWaveSkimmerfamilyisequippedwithahydraulicallyoperatedebriscoop, locatedathevessel’sbow, whichisresponsibleforgatheringfloatingjunk. Thisrecoveredwasteisthenstoredinanonboardskip, whichcanhandleacapacityofupto2m3, forsafedisposalatalaterstage. Theskiphasbeendesignedtoberemovedwhenotneeded, meaningthatElastec1’stwo-mancrewcandetachtheunitandcreatemorespaceforadditionalcargoandequipment, dependingonoperationalrequirements. Anotherinterestingfeatureisthepresenceofourproprietarydynamicoilcollectionbladders. Thesechambers, situatedwithineachcatamaran’sdoublehull, enableElastec1andhersistertoperformoilskimmingduties, andeachchamberboaststhecapacitytostoresome5m3worthofrecoveredoil. Anopeningisarrangedineachinnerhullplateleadingdirectlytoacircuschamber, fromwhichoilcanbeskimmed, byeitherweirordrumskimmers, andhydraulicallyoperatedcollectionboards, fittedtotheinnerhullplates, subsequentlyguidetheoilywatertotheopeningofthecircuschamber, whensetin‘open’ position. Theoilisthentransferredtothebladders, arrangedforwardofthecircuschambercompartment, whilecleanwaterispumpedbackoutofthevessel. Elastec1’spropulsionpackagecomprisestwoinboardBetamarinedieselengines, eachratedatjustover66kW, whichdriveapairofHamilton213waterjets. Aswellasenablingtheboatstorespondtoclean-upoperationsinaswiftandversatilemanner, thispropulsivearrangementprovidesashallowdraughtforeachcontrolboat, meaningthatheWaveSkimmersarecapableofoperatinginconfined, tightorawkwardwaters– forinstance, incloseproximitytobeachesandramps– therebyprovidingthemwithgreaterscopetoactonandrectifyoilspillsandbuild-upsofjunkbeforetheproblemescalates. Theboatscanalsobeusedtodeploypollutioncontrolboomandsimilarequipment, andcandryoutifrequired. Allinall, Elastec1representsawelcomeinternationalorderforthedeploymentofasimpleandcompact, yetpotentiallyfar-reaching, floatingoilresponseandrecoverysolution. TECHNICALPARTICULARS","10.8m","7knotsMainengine(s)","","","","9.5tonnes","Betamarine","Beta90","2"
"SSS 2011","GuanXiaoErHao","WangTakEngineering & Shipbuilding / GuangdongHongshenShipbuilding & Engineering","RobertAllan / WangTakEngineering & Shipbuilding","DongguanFireServicesDepartment","China","twoFFS2400/600models, withwaterandfoamoutputcapacitiesof2400m3perhourand600m3perhourespectively; twoFFS600/150monitors, withwaterandfoamoutputcapacitiesof600m3perhourand150m3perhourespectively; anFFS3600unit, withawatercapacityof3600m3perhour; andtwoFFS600monitorswithwatercapacityof600m3perhour. WangTakEngineering & ShipbuildingtellsSignificantSmallShipsthatallmonitorscanberemotelyoperated, andfeaturefullyautomatedcontrol. Intheventofanemergency, crewcanalsorevertofullmanualcontrol. Thecontrolsystemfeaturesatouch-screencontrolpanelandmimicpanel. Thefire-fightingsystemalsoincludesawaterdelugesystem, incorporatingFFSnozzles, twofoaminjectionpumps, sixfoamproportionersand1480mmdeckheadsforwater/foamdelivery, alongsidetwo300mmoutletsfordeliverytolandside. Intotal, GuanXiaoErHaohasafoamcapacityof60tonnes– makingheravaluableassetforsafeguardingagainstfiresandsimilarhazardsinthistretchofChina. TECHNICALPARTICULARS","46.4m","17knots","","","","850tonnes","Caterpillar","3516B","2"
"SSS 2011","HornblowerHybrid","HornblowerCruisesandEvents","Dejong & Lebet","HornblowerCruises & Events","USA","October2011Therehasbeenagreatdealoftalkthisyearaboutharnessingrenewablefuelsourcestopowersmallvessels, withthemarineindustryprojectingamixtureofoptimismandstudiouscynicismconcerningthefeasibilityofsuchprojects. Ontheonehand, alternativefuelmodesarereadilyavailableandhavebeendemonstratedonselectvessels; ontheother, criticsclaim, thehighcostsincurredbyreplacingtraditionaldiesel-enginepowerendermanypotentialdesignsunworkable. However, there’snododgingthefacthatheUSA’sEnvironmentalProtectionAgency (EPA) TierII rules, whichenterforceinJanuary2012, coupledwiththeInternationalMaritimeOrganization’s (IMO) TierII rulesonemissions, scheduledforimplementationin2016, haveaddedatremendousamountofpressuretothedebate, andthatalternative, low-emissionsolutionsneedtobeadoptedquickly. SoitwashearteningthisyeartoseeUS-basedoperatorHornblowerCruises & Eventslaunchwhatmaypotentiallybethefirstinanewseriesofeco- friendlypassengerferries. DubbedHornblowerHybrid, the51.2mferrywillshuttleupto600passengersontripsacrossNewYorkHarbour, arrangedbyStatueCruises, bringingthepublictosuchnationalandmarksastheStatueofLibertyNationalMonumentandEllisIsland, aswellasprovidingeveningcruisesandcharterforprivateorcorporatefunctions. Mostnotablythough, HornblowerHybridlivesuptohernamebydrawingonacombinationofsolar, windandieselpowertotransithearea. Theferryhasbeenfittedwithydrogenfuelcells, solarpanelsandwindturbines, withmostpowergeneratedbya32kWprotonexchangemembranefuelcell, designedbyHydrogenics, whichiscapableofconvertinghydrogenintoelectricity, heatandistilledwater. Thiselectricityisthenusedtorunanelectricmotorandcharge192onboardbatteries. TheOdysseyAGMbatteriesarecapableofprovidinghundredsofkilowatt-hoursofenergystorageforbothpropulsionandshipboardsystems, allowingthevesseltospendsignificantperiodsoftimeoperatinginzero-emissionsmode. Indeed, itisHornblowerCruises & Events’ aimto“eliminate [emissions] entirelyduringacruisingday”, accordingtothegroup’schiefexecutiveofficer, TerryMacRae. Additionally, andservingasback-uptothebatteriesconfiguration, acombination20kWsolarpanels (manufacturedbySunPowerCorporation) andtwo5kWwindturbines (manufacturedbyUrbanGreenEnergy) havetheaddedcloutopowerandpropelthevessel. ShouldHornblowerHybridrequirextrakickthantheabovecombinationsprovide, shecanultimatelyfallbackontwinScaniadieselengines, eachratedat521kWandcompliantwithEPATierIIregulations, tocoverthisneed. Overall, thevesseliscapableofmeetingamaximumspeedof12knots, althougherstandardcruisingspeedsarestimatedtobemoreintheregionof6-7knots. HerhullcoatingswereprovidedbyPPGMarine, primarily, accordingtoHornblowerCruises & Events, fortheirdurability, equatingtolessvolatileorganicompounds (VOCs) beingreleasedviafrequentrecoatingoperations. Ofcourse, NewYorkStatedoestendtobsessoveritsenvironmentalcredentials, andinthisrespect, HornblowerHybrid’sinternaldesignisalsoworthyofmention. ForboFlooringSystemsputogethertheferry’scarpet, whichcontainspost-consumerecycledmaterialsandiscompliantwithLeadershipinEnergyandEnvironmentalDesign (LEED) stipulations. Aluminiumwallcoverings, providedbyArvinyl, andceilingpanelsfromChicagoMetallichaveliminatedtheneedforwallpaper, glueorhighVOCpaints, whileHVACspecialistDometicwasinvolvedinsupplyingthevessel’sdynamicairhandlerarrangement, which, incombinationwithenergy-efficientwindows, hasresultedincomfortableinteriortemperaturesforpassengerswithoutguzzlingvastquantitiesofenergy. Additionally, recycledglasswasusedinfashioningtheferry’scountertops. Forsure, thehybridmodelmightnotsuitallvesseltypes, butbydemonstratingthatbatterypowerneednotimpactnegativelyonsuccessfulcommercialoperations, andinprovidingthebasisforcompleteliminationofdailyemissions, HornblowerHybridranksasoneofoursignificantfindsof2011. HornblowerCruises & Eventshasnotconfirmedwhetherornotasistervesselisintheoffing, butitislikelywecouldbehearingmuchmorefromthiscompanyinthenextwotothreeyears. TECHNICALPARTICULARS","51.2m","12knots","","","","","Scania","D16","2"
"SSS 2011","IevoliOrange","SelahShipyard","S.P.E.C","MarnaviOffshoreSrl","","January2011Witharangeof200 nauticalmilesandabollardpullof60tonnes, the50manchorhandling, tugsupply (AHTS) vesselIevoliOrangeisequippedforanchorhandlingandlong-rangetowage. ItalianshipoperatorMarnaviOffshoreSrltookdeliveryoftheAHTSinJanuary2011fromSelahShipyard, aTurkishshipbuilderbasedinTuzla, Istanbul, aspartofitsplanstobolsteritsoffshorefleetwithigh- specification, up-to-datevessels. IevoliOrangehasbeendesignedtocarryoutanumberofoffshoreroles; sheisequippedtocarrygasoilandfreshwater, aswellasupto12TEUcontainersondeck– fourofwhichcanberefrigerated, toffshoreunits. Aspartofhercomprehensiveoffshoresupportcapabilities, IevoliOrangeisalsodesignedtocarrysewagemudandisinfectedsewageonhereturnfromoffshoreunits. Thevessel’sdedicatedcargotanksareofsteelconstructionandsubdividedintofourpairsoftanks, oneforeachsegregatedproduct. Twocofferdamsincargoseparatethesewage/sewagemudtanksfromarinedieseloil (MDO)/heavyfueloil (HFO) tanks. Thevessel’spumproomcompartmentdividesthesewage/sewagemudtanksfromfreshwatertanks. Deckequipmentonboardtheshipincludesanelectro-hydraulicraneformovingthecargohoses, onetowingwinchwithdoubledrum, onerescueboatwithregulatorydavitandawindlasswithdrumforahigh-holdingpower (HHP) anchor. Thebulbous-bow, transom-sternvesselisarrangedwithacontinuousdoublebottom, twin-nozzledcontrollable- pitchpropeller, twinrudders, bowthrustersandaforengineroomhousingtwoWärtsilä 9L20mainengines, eachproducing1800kW. Thevessel’stotalpowerconfersaservicespeedofaround12.5knots. TheAHTShasbeeninstalledwithFiFimonitorsituatedabovewheelhouseandisequippedforFiFi-1serviceandwithnozzlesalonghull/superstructuresforwaterspray (selfprotection). DesignedespeciallyforoperationsintheMediterranean, BlackandCaspianSeas, IevoliOrangeisreinforcedfornavigationinbrashiceinaccordancewithIceClass1AofBalticRules. ShehasalsoachievedGreenStarnotation, awardedbyItalianclassificationRINaSpA. Forthecomfortofthevessel’s16crewmembers, IevoliOrangeisequippedwithachilledwatertypeairconditioningsystem. TECHNICALPARTICULARS","49.98m","12.5knots","","943tonnes","","1467.8tonnes","Wärtsilä","9L20","2"
"SSS 2011","NB569 / Interceptor16M","NSundin, Dockstavarvet","NSundin, Dockstavarvet","Russianpilots","Russia","July2011Asanall-aluminiumconstruction, capableofachievinganeye-wateringtopspeedof50knots, theDockstavarvet-designedandbuilt, 17.2mInterceptor16Mclasspatrolboatreallypushedthenvelopein2011. LooselybasedontheSweden-basedyard’spreviousCombatBoat90Hmodel, whichashiftedapproximately250unitsworldwide, theInterceptor16Mwasprimarilydevelopedtocombineahigh-speedsolution, forcoastalpoliceforcestocombatcrimewithrapidresponse, withacompactvesselarrangementprovidingbasicaccommodationforasmall, four-mancrew. Theprototypeversionofthisnewmodel, theEnforcerII, wasoriginallyunveiledatheUKSeaworkexhibitionin2002, whichledto35unitsbeingorderedbypoliceandcoastguardauthoritiespanningMexicotoMalaysia. Inturn, theInterceptor16Mhasbeendesigned, builtandequippedaccordingtoUKclassocietyLloyd’sRegister’sSpecialServiceCraftRulesforAreaG3. Thislatterparameterisdefinedascomprising150nauticalmiles (nm) fromshelter. Thepatrolboat’shullhasbeenreinforcedtogobeyondclassrequirementswhenitcomestolandingoperationsviathebowramp, andthisfactor, combinedwithalightweightoflessthan20tonnes, hasgrantedtheInterceptor16Mtheabilitytoloweritsfuelconsumptionrateto7litrespernm, whenoperatingatacruisingspeedof40knots. TwinMAND2842LE416enginesprovideacombinedpoweroutputofjustover1600kW, whiletheboatisfullyoperationalona24VDCfeedcourtesyoftwo120Aalternators, runningoffthemainenginestoseparatebatterybanksforserviceandstarters. Thevesselisalsoequippedwitha230VACsystemforthecrew’sdomesticrequirements, includinganairconditioningsystemsuppliedbyClimma, andthislattersystemcanbefedeitherbyshorepowerwhilethevesselisdocked, orvian11kWOnandieselgenerator. TheaftpositionoftheInterceptor16M’swheelhousewasosituatedinordertoprovidenhancedvisibilityforthecrew, especiallywhenoperatingathighspeed. Althoughmodest, theboat’saccommodationareaincludescomfortableseatingarrangementsforuptofourpersons, andislaidoutwithonedoubleandtwosinglecabins, amessroom, pantryandtoiletrepletewithshower. Shouldaboardingpartyneedtoaccessthevessel, orsuspectsbedetained, thecrewcanaccommodatethesextrapeoplewithseatingbelowdeck. Inaddition, a3.4mcombinedrigidinflatableboat / jetskicanbestowedinalaunchrampontheaftdeck. AnditwouldappearthatDockstavarvetmaybegearinguptoproducevenmoresignificantpatrolcraftinthefuture, withthebuilderhavingcommencedevelopmentofanewInterceptor19Mclass, providingaccommodationforalargercrewandofferingalongerangewhilemaintainingitsenviabletopspeed. TECHNICALPARTICULARS","17.2m","50knots","","","","20tonnes","MAN","D2842LE416","2"
