FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2015","Gulf Craft LLC Operator: SEACOR Marine Speed @ 50t deadweight: 38 knots","Maritime Partner","N/A","Maritime Partner","Norway","N/A","11,3m","60knots","","35","0","","Mercury","Verado 400"
"SSS 2015","Alya McCall","Gulf Craft","Incat Crowther","Seacor Marine","US","October 2015","62,8m","38knots","","98","0","700tonnes","Cummins","QSK-60"
"SSS 2015","Alysée","Alnmaritec Ltd","Alnmaritec Ltd","Offshore Shellfish Ltd","UK","May 2015","15,2m","20knots","","","0","8,5tonnes (light)","Cummins","QSC8,3"
"SSS 2015","August Nærø","Dockstavarvet","Petter Håkansson","Norwegian Navy","Norway","June 2015","21,55m","48knots","","50","0","43,7tonnes","MTU","10V2000M94"
"SSS 2015","Benreoch","Veecraft Marine","Incat Crowther","Africa Diving Services","Nigeria","May 2015","30,35m","30knots","","162","1","","Caterpillar","Acert C32"
"SSS 2015","Clean Harbour 1, Clean Harbour 2","Wang Tak Engineering &","Shanghai Chizhou Marine Tech, Ltd","Drainage Services","China","March 2015","69,9m","11knots","","2190","2","3,400tonnes","Caterpillar","C32 /C18"
"SSS 2015","Curtis Marshall","B Marshall Marine Ltd","S C McAllister","B Marshall Marine Ltd","UK","March 2015","26m","12,5knots","","11097","0","","Doosan","4V158TIH"
"SSS 2015","Ernst Meier-Hedde","Fassmer","Lütten / Freese","Deutsche Gesellschaft zur","Germany","May 2015","27,9m","24knots","","","0","120tonnes","MTU","16V 2000 M72"
"SSS 2015","Gobbler 290","Gobbler Boats Ltd","Gobbler Boats Ltd / Laurent Giles Ltd","Gobbler Boats Ltd","UK","N/A","8,85m","23knots","","375","N/A","3,75tonnes","FNM (Steyr/Buch, depending on operational scenarios)","300b"
"SSS 2015","Gustav AF Klint","Dockstavarvet","Petter Hakanson Marine /DV","Swedish Maritime","Sweden","June 2015","17,6m","12knots","","78","0","54,24tonnes","Volvo Penta","D16"
"SSS 2015","Heliotrope 48","Bakricono Shipyard","Albatross Marine Design","Undisclosed","Thailand","September 2015","14,75m","23knots","","","0","24tonnes","Steyr","SE266S36"
"SSS 2015","Iceni Venture","South Boats IOW","South Boats IOW","Iceni Marine Services","UK","April 2015","22,8m","30knots","","1066","2","65tonnes","MAN","12v"
"SSS 2015","Idar Ulstein","Swede Ship Marine","Swede Ship Marine","Redningsselskapet","Norway","October 2015","22m","38knots","","66","0","","MTU","12V2000 M84"
"SSS 2015","Karoline","Selfa Arctic","Selfa Arctic","Øra AS","Norway","October 2015","10,99m","","","","1","38tonnes","ZF","280-1"
"SSS 2015","L’escapade","Alumarine Shipyard","DN&T","Communauté de Communes des 2 Vallées","France","August 2015","27,8m","10knots (diesel mode)","","","0","34,5tonnes","Volvo Penta / Transfluid",""
"SSS 2015","London Titan","Manor Marine","Macduff Ship Design","Port of London Authority","UK","June 2015","36,5m","12knots","","428","0","910tonnes (max)","Caterpillar","C32"
"SSS 2015","Maplin","CTruk Boats","CTruk Boats","Port of London Authority","UK","January 2016","17m","24knots","","265","0","28tonnes","Volvo Penta","DI3-700"
"SSS 2015","Neil Armstrong","Dakota Creek Industries","Guido Perla & Associates (GPA)","UNOLS / US Navy / Woods","US","July 2015","72,54m","12,8knots","","26029","0","3,433,2tonnes","Cummins","QSK38 DM"
"SSS 2015","Ocean Eagle 43","CMN Cherbourg","Nigel Irens Design / CMN Cherbourg","N/A","Mozambique","TBC","43,6m","30knots","","140","2","","Scania","DI 13 070M"
"SSS 2015","Ormsö","Baltic Workboats","Baltic Workboats","Estonian Maritime","Estonia","May 2015","45m","13,5knots","","926","0","690tonnes","MTU","8V 4000 M63"
"SSS 2015","OSSOY","Sinopacific Shipbuilding Group","Shanghai Design Associates (SDA)","Femco Group","Russia","April 2015","72m","16,3knots","","2721","2","5,376,1tonnes","Rolls-Royce Marine","40L9PCD"
"SSS 2015","Pelican Pride","Penguin Shipyard International","Penguin Shipyard International","Pelican Offshore Services","Singapore","Q2 2015","45m","27knots","","352","2","323tonnes","Baudouin","12M26,2 (IMO Tier 2)"
"SSS 2015","Prince Job I","Shipyard De Hoop","Shipyard De Hoop","Awaritse","Nigeria","March 2015","68,45m","12knots","","1847","0","3,863tonnes","Caterpillar","C32 (x2), C18 (x2)"
"SSS 2015","RT Emotion","Damen Shipyards Hardinxveld","Robert Allan Ltd","Elisabeth Ltd/ KOTUG","Malta","June 2015","31,95m","13,1knots","","498","1","598tonnes","Caterpillar","3512C TA/HD+"
"SSS 2015","Sistac Vitoria","SeaSafe Barcos Manufaturados","Incat Crowther","Sistac Sistemas De Acesso","Brazil","February 2015","42,5m","15knots","","","1","400tonnes","Scania","DI13"
"SSS 2015","Tai Pari","Hin Lee (Zhuhai) Shipyard Co, Ltd (Cheoy Lee)","Robert Allan Ltd","The Port of Tauranga","New Zealand","June 2015","24,4m","13knots","","3104","1","517tonnes","Caterpillar","3516C HD"
"SSS 2015","Trearddur Bay","Aluminium Marine Consultants","BMT Nigel Gee","Turbine Transfers","UK","January 2015","21,2m","27knots","","65","0","50tonnes","MTU","10V 2000M72"
"SSS 2015","Trident","Geo Shipyard, Inc","Roger Fyffe","Texas A&M University","US","May 2015","19,8m","23knots","","92","0","48tonnes","Scania","DI 13 070"
"SSS 2015","Umoe Ventus","Umoe Mandal","Umoe Mandal","Umoe Wind","Norway","March 2015","27,2m","42knots","","217","1","103tonnes","MTU","2000 16V M72"
"SSS 2015","Yeniçay 1","Sanmar Shipyard","Robert Allan Ltd","Sanmar","Turkey","January 2015","18,7m","12knots","","146","1","256tonnes","Caterpillar","C32"
