FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,MainEngineDesigner,MaunEngineModel
"CSVFiles/SSS 2004,csv","A","A","A","A","T","M","56,00","","","1900","MTU","16V 4000 M70"
"CSVFiles/SSS 2004,csv","B","C","3 3S","M","I","N","9,00","25,00","","1064","Volvo Penta","AD31 SX (sterndrive)"
"CSVFiles/SSS 2004,csv","B","V","V","P","U","2 20 00 04 4","15,00","12,00","","","Ford","Mermaid Majestic"
"CSVFiles/SSS 2004,csv","B","S","S","S","F","J","75,00","","","","Caterpillar","3508B DI-TA"
"CSVFiles/SSS 2004,csv","D","I","I","G","I","2 20 00 03 3- -2 20 00 06 6","35,00","35,00","","","MTU","16V396TB94"
"CSVFiles/SSS 2004,csv","E","A","E","E","D","S","44,00","","","850","Caterpillar","3421C"
"CSVFiles/SSS 2004,csv","F","P","S","M","R","D","25,00","12,00","","188","Volvo Penta","D25AMT"
"CSVFiles/SSS 2004,csv","I","C","R","B","A","M","27,00","12,00","","325","Caterpillar","3516B-HD"
"CSVFiles/SSS 2004,csv","J","B","B","T","U","F","68,00","11,00","","3000","Caterpillar","CAT 3516"
"CSVFiles/SSS 2004,csv","K","A","A","G","K","M","21,00","","","813","MTU","12V 183 TE92"
"CSVFiles/SSS 2004,csv","L","A","A","L","U","1 1 J","58,00","39,00","","","MTU","16V 4000 M70"
"CSVFiles/SSS 2004,csv","L","F","V","L","N","2 20 00 04 4","94,00","","","500","Wärtsilä","12V32"
"CSVFiles/SSS 2004,csv","L","C","R","S","B","B","69,00","16,00","","2400","Bergen","BRM 6"
"CSVFiles/SSS 2004,csv","M","R","R","L","I","D","39,00","34,00","","","Caterpillar","3516B"
"CSVFiles/SSS 2004,csv","N","D","D","A","R","2 26 6 M","17,00","","","","MAN B&W","2842 LE 410"
"CSVFiles/SSS 2004,csv","P","V","V","C","U","2 20 00 04 4","18,00","12,00","","120","Cummins","KTA 19M4"
"CSVFiles/SSS 2004,csv","P","R","R","P","T","1 13 3 M","37,00","16,00","","","MTU","12V 4000 M40 B"
"CSVFiles/SSS 2004,csv","R","F","F","I","T","1 18 8 D","80,00","","","2942","MTU","396 TE 74 L"
"CSVFiles/SSS 2004,csv","R","S","S","K","G","M","90,00","","","","Deutz","TBD620V8"
"CSVFiles/SSS 2004,csv","S","M","M","D","S","3 31 1 M","74,00","","","2588","Mitsubishi","S12R-MPTA"
"CSVFiles/SSS 2004,csv","S","S","A","W","S","M","14,00","30,00","","346","Cummins","6BTA5,9M"
"CSVFiles/SSS 2004,csv","S","U","U","R","S","A","30,00","","","410","DEUTZ","SBV 9M 628"
"CSVFiles/SSS 2004,csv","T","D","B","R","U","M","80,00","","","2786","Jastram","W40 Azimuthing jet thrusters"
"CSVFiles/SSS 2004,csv","V","S","S","V","N","2 20 0 J","60,00","","","1475","MAK","6M32C"
"CSVFiles/SSS 2004,csv","V","A","V","E","N","D","92,00","16,00","","3600","Caterpillar","3516B"
"CSVFiles/SSS 2004,csv","V","S","S","S","F","M","77,00","","","3770","Caterpillar","3512B"
"CSVFiles/SSS 2004,csv","W","D","C","N","U","J","29,00","31,00","","77","Detroit Diesel","16V2000"
