FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2018","Almi Atlas","Hyundai Samho Heavy","Hyundai Samho Heavy","Almi Tankers","Republic of Korea","13 March 2018","336.08m","15.2knots at design draught","9816323","162,306gt","1","138,911t","Hyundai-B&W","7G80ME-C9.5-EGRTC","1"
"SS 2018","Amphion","Samsung Heavy Industries","Samsung Heavy Industries","CVLC One Carrier Corp","Republic of Korea","13 January 2019","333m","14.5knots","9830795","191,683gt","nil","","Consilium","MAN B&W 7G80ME-C9.5","1"
"SS 2018","British Partner","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","BP Shipping","Republic of Korea","29 May 2018","294.9m","20.0knots at 72% MCR w/o S.M","9766530","115,366gt","2","","MAN Diesel & Turbo","MAN B&W 5G70ME-C9.5-GI (Derated)","2"
"SS 2018","BW Tulip","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","BW Discovery Pte. Ltd","Republic of Korea","3 January 2018","294.9m","19.5knots","9758064","114,364gt","0","","MAN B&W","5G70ME-C9.5-GI","2"
"SS 2018","CMA CGM Antoine De","HHIC-Phil Inc","HHIC-Phil Korea / HHIC-","CMA CGM","Republic of Korea / Republic of the Philippines","26 January 2018","400m","21.5knots","9776418","217,600gt","2","","Hyundai-WinGD","W11X92","1"
"SS 2018","CMA CGM Pregolia","JinHai Intelligent Manufacturing","Shanghai Merchant Ship Design &","CMA CGM","China","March 2018","195.00m","19.8knots","9745500","29,316gt","2","","MAN","6G60ME-C9.5 Tier II","1"
"SS 2018","Daniel K. Inouye","Philly Shipyard, Inc","Korea Maritime Consultants, Co. LTD (KOMAC)","Matson Navigation, Co","Korea","31 October 2018","260.3m","23.5knots","9719056","48,409gt","nil","66,787t","38,000kW","MAN B&W 7S90ME-C10.5-GI","1"
"SS 2018","DHT Bronco","Hyundai Heavy Industries","Hyundai Heavy Industries","DHT","Republic of Korea","27 July 2018","333m","14.8knots","9822994","","1","","Hyundai","7G80ME-C9.5-HPSCR","1"
"SS 2018","Eagle Barcelona","Samsung Heavy Industries","Samsung Heavy Industries","AET Inc. Limited","Republic of Korea","January 2018","250m","14.5knots","9795048","61,000gt","1","","Consilium","MAN 6G60ME-C9.5","1"
"SS 2018","El Coqui","VT Halter Marine","VT Halter Marine / Wärtsilä","Crowley ConRo LLC","United States / Norway","18 July 2018","219.5m","21.0knots @ 10m draught @ 76% MCR + 15% sea margin","9721968","37,462gt","1","42,449t @ 10m","MAN","8S70ME-C8.2-GI","1"
"SS 2018","Flavin","Jiangsu New Hantong Ship","Shanghai Merchant Ship Design and Research Institute (SDARI)","Cardiff Marine","China","March 2018","249.9m","14.5knots","9787912","64,321gt","3","134,845t","Alfa Laval","6G50ME-C9.5-TII","1"
"SS 2018","Fure Vinga","AVIC Dingheng","FKAB Sweden","Furetank Chartering","Sweden","4 April 2018","149.9m","13knots","9739800","12,770gt","3","24,484t","Wärtsilä","9L34DF","1"
"SS 2018","Gagarin Prospect","Hyundai Samho Heavy","Hyundai Samho Heavy","Sovcomﬂot","Republic of Korea","30 July 2018","249.99m","14.68knots","9826720","64,909gt","nil","126,658t","Hyundai-Wärtsilä","W7X62DF","1"
"SS 2018","Golar Nanook","Samsung Heavy Industries","Samsung Heavy Industries","Golar LNG Ltd","Republic of Korea","September 2018","305.8m","","9785500","107,049gt","","","Flutek","8L50DF","4"
"SS 2018","HMM Promise","HHIC-Phil Inc","HHIC-Phil Korea / HHIC-Tech","Hyundai Merchant Marine","Republic of Korea / Republic of the","23 June 2018","330m","","9742168","114,000gt","1","","MAN Diesel Turbo","8G95ME C9.5","1"
"SS 2018","Hoegh Gannet","Hyundai Heavy Industries","Hyundai Heavy Industries","Hoegh","Republic of Korea","06 December 2018","294m","18knots","9822451","110,532gt","nil","","Four stroke, single acting, trunk piston, turbocharged, intercooled, constant speed, non-reversible, dry sump, dual fuel burning","Wärtsilä 8L50DF / 6L50DF","8L50DF x 3 / 6L50DF x 1"
"SS 2018","Iberian Sea","HHIC-Phil INC","HHIC-Phil Korea / HHIC-Tech","Eastern Paciﬁc Shipping","Republic of Korea / Republic of the Philippines","17 November 2018","249.8m","14.5knots","9815604","63,416gt","nil","","MAN Diesel Turbo","6G 60ME-C9.5","1"
