FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,SisterShip,Displacement,MainEngineDesigner,MainEngineModel
"SS 2012","AIDAmar","Meyer Werft","","AIDA Cruises","Germany","","253.30m","","9490052","71,304dwt","","Caterpillar","9M43C"
"SS 2012","Al-Idrisi","STX Offshore &","MMG","Jan De Nul","Belgium","3 May 2012","119.10m","","9572707","8,082gt","","4 stroke","8L32/40"
"SS 2012","APL Southampton","Daewoo Shipbuilding & marine Engineering Co., Ltd","Schottel","Neptune Orient Lines","Korea","27 March 2012","347.0m","","9462017","128,929gt","","1 x MAN B&W","12K98ME-C7.1"
"SS 2012","Arkadia","Hyundai-Vinashin Shipyard","1 x DSME/MMG","ESL Shipping","Korea","30 April 2012","197.08m","","9590797","33,958gt","","Hyundai Heavy Industry Co., Ltd","7S50MC-C8"
"SS 2012","Astomos Earth","Mitsubishi Heavy Industries Ltd","Rolls-Royce","Idemitsu Tanker Co., Ltd","Japan","02 January 2012","230.00m","","9607069","47,950gt","","Mitsubishi Heavy Industries Ltd","7UEC60LSII"
"SS 2012","Baie St. Paul","CSSC Chengxi Shipyard Co., ltd","Mitsubishi Heavy Industries Ltd","Canada Steamship Lines","Canada/China","31 August 2012","225.5m","","9601027","24,430gt","","","6S50ME-B9 Tier II"
"SS 2012","BBC Amethyst","Jinagzhou Shipyard","MAN","BBC Chartering","Germany","27 September 2012","153.80m","","9563706","12,800gt","","","6S46MC-C8"
"SS 2012","Brightoil Glory","Hyundai Heavy Industries","McGregor","Brightoil","Korea","January 2012","333m","","9602631","161,269gt","","2-stroke","6S90ME-C8.2"
"SS 2012","Brightway","Hanjin Heavy Industry & Construction Co., Ltd","Hyundai","Tanker Pacific Management","Korea","26 November 2012","274.00m","","9588146","83,830gt","","MAN Turbo Diesel","6S70MC-C8"
"SS 2012","CMA CGM Marco Polo","Daewoo Shipbuilding & Marine Engineering Co., Ltd","HHIC (TMS)/MMG","CMA CGM","Korea","1 May 2012","396.0m","","9454436","153,022gt","","Wärtsilä 14RT-flex96C",""
"SS 2012","Coral Energy","Neptun Werft","DSME/ Hyundai","Anthony Veder Chartering B.V","Germany","16 October 2012","154.95m","","9617698","","","Wärtsilä","8L50DF"
"SS 2012","Eagle San Antonio","Samsung Heavy Industries","Wärtsilä","AET/ AET","Korea","January 2013","274.29m","","9594822","80,783gt","","MAN Diesel & Turbo","6S70MC-C8.1"
"SS 2012","Elka Leblon","STX Offshore & Shipbuilding Co., Ltd","MMG","European Navigation Inc","Korea","26 April 2012","278.30m","","9625712","","","STX-MAN B&W","6S70ME-C8.1 (NOx Tier III)"
"SS 2012","Emerald Ace","Mitsubishi Heavy Industries","Kawasaki","Mitsui OSK Lines","Japan","23 December 2012","199.99m","","9539236","60,154gt","","Mitsubishi Heavy Industries","7UEC60LSII (P/U)"
"SS 2012","Ephesos","Hyundai Samho Heavy","Mitsubishi Heavy Industries","N.J Goulandris","Korea","29 June 2012","274.18m","","9607423","84,850gt","","Hyundai B&W","6S70ME-C8"
"SS 2012","Ever Lambent","Samsung Heavy Industries","Hyundai Heavy","Evergreen","Taiwan","28 February 2012","335m","","9595436","97,500gt","","MAN Diesel & Turbo","9K98ME7"
"SS 2012","Ferry Naminoue","Mitsubishi Heavy Industries","Samsung Heavy Industries/ Nakashima","A Line Ferry Co., Ltd","Japan","25 July 2012","145.00m","","9608348","8,072gt","","S.E.M.T – Pielstick","12PC2-6V"
"SS 2012","FS Diligence","Namura Shipbuilding Co., Ltd","Nakashima Propeller Co., Ltd","J&K Shipping","Japan","19 September 2012","249.97m","","9532161","63,058gt","","","1 x MAN B&W 6S60MC-C"
"SS 2012","Hamburg Express","Hyundai Heavy Industries","Nakashima Propeller Co., Ltd","Hapag-Lloyd","Korea","18 January 2012","366.45m","","9461051","142,295gt","","2-stroke","11K98ME7"
"SS 2012","Hyundai Together","Hyundai Samho Heavy","Hyundai","Danaos Shipping Co., Ltd/ Hyundai Merchant Marine Co., Ltd","Korea","5 July 2012","366.53m","","9473731","59,000gt","","B&W","12K98ME-C7"
"SS 2012","Innovation","Sungdong Shipbuilding & Marine Engineering Co., Ltd","Hyundai Heavy Industries Co., Ltd","Aegean Bulk Co., Inc","Korea","16 February 2012","229m","","9622667","44,300tonnes","","","MAN Diesel 6S60ME-C8.2"
"SS 2012","Innovation","Crist S.A, Gdansk","Sungdong/HHI","HGO InfraSeas Solutions","Germany/ Finland","18 June 2012","166.00m","","9603453","21,900gt","","Diesel-electric","9M32C/9M20C"
"SS 2012","Jaguar","Shipkits B.V","Schottel","Jaguar Shipping","The Netherlands","August 2012","107,95m","","9613628","5,198gt","","Scania","DI-16 55M"
"SS 2012","JS Amazon","Sinopacific Yangzhou Dayang","ZF","Greenship Bulk Pte Ltd","China PRC","01 June 2012","199.99m","","9573713","35,812gt","","MAN BW","5S60MEC8 TII"
"SS 2012","Jules Garnier II","Naikai Zosen Corporation","Nakashima","Sunny Durban Maritime S.A","Japan","02 March 2012","160.00m","","9646417","16,715gt","","MAN Diesel & Turbo SE","Hitachi-MAN B&W 6S42MC7.1"
"SS 2012","K. Hope","Hyundai Samho Heavy","Nakashima Propeller Co., Ltd","SK Shipping","Korea","19 September 2012","330.07m","","9613783","133,647gt","","Hyundai-Wärtsilä","6RT-flex82T"
"SS 2012","LOG-IN Tambaqui","Estalerio Ilha S.A (EISA)","Hyundai Heavy Industries Co., Ltd","LOG-IN Logistica Intermodal","Brazil","12 September 2012","245.00m","","9555785","48,258gt","","Wärtsilä Switzerland Ltd","6RT-flex 50-B"
"SS 2012","Meri","STX Finland Turku Shipyard","Wärtsilä Netherlands B.V","Oy Gaiamare Ab","Finland","December 2012","105.4m","","9622502","3,360gt","","Wärtsilä Finland Oy","Wärtsilä 6L20"
"SS 2012","MSC Altamira","Hyundai Samho","Schottel","Ofer Ships Holding Ltd/ Bernhard Schulte","Korea","13 June 2012","299.18m","","9619426","94,017gt","","","9S90ME-C8.2"
"SS 2012","MSC Athens","Sungdong Shipbuilding & Marine Engineering Co., Ltd","HHI-EMD","Costamare Inc","Korea","28 September 2012","299.95m","","9618305","","","MAN B&W","9S90ME-C 8.2(TierII)"
"SS 2012","Neva Leader 1","Nevsky Shipbuilding-","Sungdong/MMG","North-Western Shipping","Ukraine","December 2012","139.95m","","9598816","","","Wärtsilä","6L20"
"SS 2012","Nikolay Zuyev","Daewoo Shipbuilding and","Cargotec","Sovcomflot","Korea","26 November 2012","249.9m","","9610781","66,818gt","","MAN Diesel & Turbo","MAN B&W 6S60MC-C8.2"
"SS 2012","Nord Stability","STX Offshore & Shipbuilding Co., Ltd","DSME/Samwoo","Norden","Korea","31 May","183.00m","","9629495","","","","STX MAN 6S50ME-C8.2"
"SS 2012","Pacific Orca","SPP Shipbuilding Co., Ltd","Haey Ang","Active Shipping","Korea","27 July 2012","229.00m","","9590747","44,485gt","","Hyundai-MAN B&W","6S60MC-C8.1"
"SS 2012","PTSC Bien Dong 01","De Hoop Lobith","Silla Metal","Vantage Delux Travel","The Netherlands","December 2012","135m","","9633496","31,349gt","","Caterpillar","Caterpillar C32 Ditta Acert"
"SS 2012","S.A. Agulhas II","STX Finland Rauma Shipyard","Veth VZ-900 CR","Department of","Finland","01 February 2012","134.0m","","9577135","12,897gt","","","6L32"
"SS 2012","Severine","Kyokuyo Shipyard Corporation, Japan","KaMeWa CPP, Rolls-Royce","Shiplux VIII S.A","Japan","04 April 2012","152.02m","","9539078","16,342gt","","Wärtsilä","16V32"
"SS 2012","Silver Princess","Mitsubishi Heavy Industries Ltd","Wärtsilä","Kawasaki Kinkai Kisen Kaisya Ltd","Japan","25 January 2012","150.00m","","9597616","10,536gt","","S.E.M.T – Pielstick","12PC2-6B"
"SS 2012","Stena Supreme","Samsung Heavy","Kawasaki Heavy Industries","Stena Bulk","Korea","5 April 2012","274.23m","","9585895","81,187gt","","MAN Diesel & Turbo","6S70ME-C"
"SS 2012","STI Amber","Hyundai Mipo Dockyard Co., Ltd","SHI/HHI","Scorpio Tankers","Korea","30 June 2012","183.31m","","9629926","29,708gt","","Hyundai Heavy Industry Co., Ltd","6S50ME-B9.2"
"SS 2012","Stolt Rhine","Mercurius Shipbuilding (Mercurius Shipping group)","HHI-EMD","Stolt Nielsen Inland","The Netherlands","20 July 2012","109.99m","","","3,409.795gt","","ABC","6 DZC-1000-166-A"
"SS 2012","STX Arborella","STX Offshore &","Wärtsilä Iberica S.A","POS Maritime CA S.A/ STX PanOcean Co., Ltd","Korea","6 February 2012","199.9m","","9613288","39,009gt","","","MAN 6S50MC-C8.1"
"SS 2012","Tanit","Daewoo Shipbuilding & Marine Engineering, Ltd","STX/SILLA Metal","Compagnie Tunisienne","Korea","9 November 2012","210.0m","","9598579","52,645gt","","MAN B&W","12V48/60CR"
"SS 2012","Tzini","SPP Shipbuilding Co., Ltd","MAN","Eastern Mediterranean","Korea","31 May 2012","170.00m","","9625906","Abt. 20,600gt","","MAN Diesel & Turbo","6S60ME-C8.2"
